,ms_solar,rs_solar,Ts,mp_earth,ap_AU,ep,mm_earth,am_hill,am_AU,em,moon_retrograde,t_sim,rhill_AU,a_inner_au,a_outer_au,frac_stable,frac_habitable,frac_habitable_from_temp,mean_moon_star_dist_norm,mean_moon_planet_dist_norm,mean_moon_temp_norm,std_moon_star_dist_norm,std_moon_planet_dist_norm,std_moon_temp_norm
ms_solar,1.0,0.03157867200972192,-0.014355185085285486,0.03240858657826398,0.008348565578068918,0.04100563928559287,0.005536770602832035,-0.001131439584379091,-0.11305016187380762,-0.015475162321613768,-0.018244195744890616,-0.03402629912057141,-0.1512036904889938,-0.006274688218480561,-0.006274688218480556,-0.02427616914109152,0.019565648687611698,0.019565648687611698,-0.005301357670285621,-0.021928537538837466,-0.00025577222825639667,-0.08380069744241818,-0.02324855436456842,-0.09906502333980659
rs_solar,0.03157867200972192,1.0,0.0124031901245564,0.017577820420897568,0.005651663632656097,0.03702759511064826,0.009181469114713636,0.016803500505820176,0.026753421074995103,-0.0103390824762682,-0.0034707273581170792,0.01377572099111561,0.004854225083475675,0.5103598513361718,0.510359851336174,-0.014499996651526237,-0.11053396389387621,-0.11053396389387621,-0.3796197034585421,-0.015376895690188916,0.38328020600108675,-0.08964960211995338,-0.017729108255259862,-0.022464584213129912
Ts,-0.014355185085285486,0.0124031901245564,1.0,-0.0019652092713503895,0.0034663100516023337,-0.008296513200283103,0.011175254203175599,0.037400019083215504,0.02918493174433913,0.005334832646774238,-0.0315301670979123,-0.001682128442469544,0.012065977865816063,0.8004002656595849,0.8004002656595856,-0.030957081312212923,-0.06055426147378184,-0.06055426147378184,-0.6898770754729987,-0.025731456989372695,0.6901648410170232,-0.16590804542684107,-0.02722959692884318,-0.0399635755744827
mp_earth,0.03240858657826398,0.017577820420897568,-0.0019652092713503895,1.0,0.0043817954959084245,-0.01361418224117919,0.07225115659162519,0.026945101882530676,0.4904126038469362,0.012259524862342705,0.009601610167137774,0.0005322265161042154,0.6250467018824327,0.0005279884892742112,0.0005279884892743666,-0.0023397305435946944,0.005027915627720541,0.005027915627720541,-0.01418562166160608,-0.003762858080670876,0.007915914226248811,0.2827462073928576,-0.007463722400097861,0.3672366675310138
ap_AU,0.008348565578068918,0.005651663632656097,0.0034663100516023337,0.0043817954959084245,1.0,-0.010894389823191202,-0.022592549145144726,-0.02666077064894244,0.43775704558667256,-0.006696997804241858,0.009195674483922113,0.00866345220843255,0.5819597341395097,0.009824569706703559,0.009824569706703621,0.134041411181598,0.08799562395302388,0.08799562395302388,0.4844245158079953,-0.03661380006753007,-0.5407058034548493,0.1218892137230319,-0.030318332378689698,0.043913975214071685
ep,0.04100563928559287,0.03702759511064826,-0.008296513200283103,-0.01361418224117919,-0.010894389823191202,1.0,0.013042386870159947,-0.019651029197522044,-0.12768748181157494,-0.0061393776136918305,0.006664072617110836,0.018657819161220866,-0.1616941947155662,0.007519478548455017,0.007519478548454951,0.014026934222408825,-0.004197144675645777,-0.004197144675645777,-0.11341141778522829,0.01149207509739339,0.1150451585993051,-0.027469783662019215,0.01260504415683961,-0.00904488506939097
mm_earth,0.005536770602832035,0.009181469114713636,0.011175254203175599,0.07225115659162519,-0.022592549145144726,0.013042386870159947,1.0,0.012313917478859628,0.07505764459145682,-0.009204115149695512,0.00040625799609610895,-0.010221218173383978,0.08613348300300518,0.01725789417217186,0.017257894172171957,0.012944673656618524,-0.030341256812233833,-0.030341256812233833,-0.03584029217676414,-0.01709224991022361,0.03218305018699167,0.031233962348671523,-0.016393933514006854,0.05215463505324564
am_hill,-0.001131439584379091,0.016803500505820176,0.037400019083215504,0.026945101882530676,-0.02666077064894244,-0.019651029197522044,0.012313917478859628,1.0,0.49030725485402155,-0.02888576388565361,-0.005388336578313954,0.015452591075150863,0.015042260412143927,0.04403115258080844,0.04403115258080851,-0.5648174140037183,-0.008359796569224117,-0.008359796569224117,-0.0400137119423339,0.07848561960349486,0.04316447022600552,0.14368297993457288,0.05574243573855693,0.17284717040835829
am_AU,-0.11305016187380762,0.026753421074995103,0.02918493174433913,0.4904126038469362,0.43775704558667256,-0.12768748181157494,0.07505764459145682,0.49030725485402155,1.0,-0.0259746098642316,0.00987771910219384,0.01644880572190197,0.7696048044190327,0.045216080795701,0.04521608079570115,-0.19146002796147302,0.02640454168351217,0.02640454168351217,0.19597410036974916,0.0193106816277757,-0.2202482124896425,0.36870294101151513,0.014144692825920726,0.38783055002186967
em,-0.015475162321613768,-0.0103390824762682,0.005334832646774238,0.012259524862342705,-0.006696997804241858,-0.0061393776136918305,-0.009204115149695512,-0.02888576388565361,-0.0259746098642316,1.0,0.02056998019095544,-0.004187499301102886,-0.002954068939534783,-0.0002869109165021174,-0.0002869109165021449,0.14192174866447652,-0.03550845751333911,-0.03550845751333911,-0.011801658705762096,-0.01986881274835405,0.012239763296306333,-0.004341208325833102,-0.011700572794860557,0.012134836816035322
moon_retrograde,-0.018244195744890616,-0.0034707273581170792,-0.0315301670979123,0.009601610167137774,0.009195674483922113,0.006664072617110836,0.00040625799609610895,-0.005388336578313954,0.00987771910219384,0.02056998019095544,1.0,0.03263487137060999,0.015751991253489604,-0.03077520786221348,-0.030775207862213508,0.39477840862489516,-0.01784915233174078,-0.01784915233174078,0.020594740034485342,-0.0334195877614776,-0.021318620942645736,0.09607537136206665,-0.03244715125951716,0.132100555281405
t_sim,-0.03402629912057141,0.01377572099111561,-0.001682128442469544,0.0005322265161042154,0.00866345220843255,0.018657819161220866,-0.010221218173383978,0.015452591075150863,0.01644880572190197,-0.004187499301102886,0.03263487137060999,1.0,0.009714826498278284,0.006542899358768948,0.006542899358768893,-0.0620423002290836,-0.012372773486253616,-0.012372773486253616,0.00702412552940019,0.007368684205007211,-0.0032351655363249726,-0.012348540221099349,-0.002722935249708515,-0.02083889535273027
rhill_AU,-0.1512036904889938,0.004854225083475675,0.012065977865816063,0.6250467018824327,0.5819597341395097,-0.1616941947155662,0.08613348300300518,0.015042260412143927,0.7696048044190327,-0.002954068939534783,0.015751991253489604,0.009714826498278284,1.0,0.016564063604428213,0.016564063604428334,0.07097851126152405,0.03582787176932099,0.03582787176932099,0.2893339578830942,-0.018695561772751418,-0.3207683018144438,0.3345068681268139,-0.016373721665643215,0.33325034949542753
a_inner_au,-0.006274688218480561,0.5103598513361718,0.8004002656595849,0.0005279884892742112,0.009824569706703559,0.007519478548455017,0.01725789417217186,0.04403115258080844,0.045216080795701,-0.0002869109165021174,-0.03077520786221348,0.006542899358768948,0.016564063604428213,1.0,1.0000000000000018,-0.03532670081313786,-0.16633123932776464,-0.16633123932776464,-0.6842898228427705,-0.017204763250098596,0.7185260304741374,-0.1926344390067008,-0.019235268257392694,-0.07445665514656713
a_outer_au,-0.006274688218480556,0.510359851336174,0.8004002656595856,0.0005279884892743666,0.009824569706703621,0.007519478548454951,0.017257894172171957,0.04403115258080851,0.04521608079570115,-0.0002869109165021449,-0.030775207862213508,0.006542899358768893,0.016564063604428334,1.0000000000000018,1.0,-0.03532670081313778,-0.1663312393277644,-0.1663312393277644,-0.68428982284277,-0.017204763250098655,0.7185260304741373,-0.19263443900670102,-0.019235268257392652,-0.07445665514656705
frac_stable,-0.02427616914109152,-0.014499996651526237,-0.030957081312212923,-0.0023397305435946944,0.134041411181598,0.014026934222408825,0.012944673656618524,-0.5648174140037183,-0.19146002796147302,0.14192174866447652,0.39477840862489516,-0.0620423002290836,0.07097851126152405,-0.03532670081313786,-0.03532670081313778,1.0,-0.00568316442371793,-0.00568316442371793,0.09248248179498002,-0.10260171836025729,-0.10306195550082549,0.09023420028150188,-0.0677616591063975,0.12592281253810872
frac_habitable,0.019565648687611698,-0.11053396389387621,-0.06055426147378184,0.005027915627720541,0.08799562395302388,-0.004197144675645777,-0.030341256812233833,-0.008359796569224117,0.02640454168351217,-0.03550845751333911,-0.01784915233174078,-0.012372773486253616,0.03582787176932099,-0.16633123932776464,-0.1663312393277644,-0.00568316442371793,1.0,1.0,0.07127169733003227,-0.005540538223490225,-0.12687779643532426,0.15285887237706106,-0.006109288143993014,0.1637447031314141
